x_gk25,y_gk25,vuosi,autot
25491594,6679078,2021,108.14285714285714
25491594,6679078,2022,102.03571428571429
25492633,6682137,2015,143.39285714285714
25492633,6682137,2016,158.85714285714286
25492633,6682137,2017,121.21428571428571
25492633,6682137,2018,127.14285714285714
25492633,6682137,2019,126.69047619047619
25492633,6682137,2020,112.14285714285714
25492633,6682137,2021,117.6547619047619
25492633,6682137,2022,119.98809523809524
25493193,6683064,2015,763.3690476190476
25493193,6683064,2016,719.2738095238095
25493193,6683064,2017,759.6666666666666
25493193,6683064,2018,786.4047619047619
25493193,6683064,2019,802.8571428571429
25493193,6683064,2020,738.7619047619048
25493193,6683064,2021,771.2738095238095
25493193,6683064,2022,768.6666666666666
25493551,6675504,2015,67.97619047619048
25493551,6675504,2016,61.38095238095238
25493551,6675504,2017,44.535714285714285
25493551,6675504,2018,51.36904761904762
25493551,6675504,2019,50.642857142857146
25493551,6675504,2020,40.51190476190476
25493551,6675504,2021,39.88095238095238
25493551,6675504,2022,39.785714285714285
25493771,6675892,2015,400.60714285714283
25493771,6675892,2016,416.5238095238095
25493771,6675892,2017,375.0952380952381
25493771,6675892,2018,341.3809523809524
25493771,6675892,2019,358.6547619047619
25493771,6675892,2020,335.6190476190476
25493771,6675892,2021,322.10714285714283
25493771,6675892,2022,341.26190476190476
25494404,6677041,2015,424.01190476190476
25494404,6677041,2016,422.14285714285717
25494404,6677041,2017,365.2857142857143
25494404,6677041,2018,409.5357142857143
25494404,6677041,2019,403.60714285714283
25494404,6677041,2020,381.7142857142857
25494404,6677041,2021,369.1190476190476
25494404,6677041,2022,392.75
25494426,6672169,2015,194.25
25494426,6672169,2016,190.51190476190476
25494426,6672169,2017,173.33333333333334
25494426,6672169,2018,149.72619047619048
25494426,6672169,2019,126.46428571428571
25494426,6672169,2020,120.58333333333333
25494426,6672169,2021,128.36904761904762
25494426,6672169,2022,120.44047619047619
25494579,6672693,2015,689.297619047619
25494579,6672693,2016,694.3214285714286
25494579,6672693,2017,676.3571428571429
25494579,6672693,2018,617.6309523809524
25494579,6672693,2019,619.202380952381
25494579,6672693,2020,565.2261904761905
25494579,6672693,2021,586.5238095238095
25494579,6672693,2022,585.9642857142857
25494895,6677282,2015,503.76190476190476
25494895,6677282,2016,538.0952380952381
25494895,6677282,2017,564.4761904761905
25494895,6677282,2018,547.2738095238095
25494895,6677282,2019,523.6428571428571
25494895,6677282,2020,467.2142857142857
25494895,6677282,2021,446.45238095238096
25494895,6677282,2022,475.0
25495121,6680653,2015,1310.6785714285713
25495121,6680653,2016,1141.392857142857
25495121,6680653,2017,1381.9880952380952
25495121,6680653,2018,1434.4166666666667
25495121,6680653,2019,1475.1309523809523
25495121,6680653,2020,1343.6190476190477
25495121,6680653,2021,1440.0238095238096
25495121,6680653,2022,1408.202380952381
25495193,6673910,2015,41.80952380952381
25495193,6673910,2016,40.726190476190474
25495193,6673910,2017,53.857142857142854
25495193,6673910,2018,62.035714285714285
25495193,6673910,2019,44.785714285714285
25495193,6673910,2020,38.916666666666664
25495193,6673910,2021,38.25
25495193,6673910,2022,38.345238095238095
25495243,6679639,2015,78.05952380952381
25495243,6679639,2016,103.22619047619048
25495243,6679639,2017,76.98809523809524
25495243,6679639,2018,74.01190476190476
25495243,6679639,2019,38.30952380952381
25495243,6679639,2020,34.63095238095238
25495243,6679639,2021,37.86904761904762
25495243,6679639,2022,37.32142857142857
25495293,6677123,2015,78.26190476190476
25495293,6677123,2016,73.80952380952381
25495293,6677123,2017,78.27380952380952
25495293,6677123,2018,74.5
25495293,6677123,2019,80.95238095238095
25495293,6677123,2020,57.80952380952381
